,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,NUF2,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,NDC80,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T,PAM50
104,2.23,2.8154,-0.6333,-2.2589,0.5596,-2.0732,0.7918,1.3408,3.0449,0.5327,0.2685,3.068,0.1381,-0.2283,-0.3211,6.1192,-0.0137,-11.2653,2.4768,-1.8594,-11.9388,7.4377,-2.6789,-0.7211,1.3255,2.2333,9.2828,9.7178,7.3339,-5.3101,0.07,0.8094,2.7226,-0.4269,-12.2705,-1.9053,1.5765,1.1266,-5.5683,1.3889,-2.3984,1.6833,0.5249,0.0565,8.0336,-1.1068,-3.6466,3.7211,1.8255,0.8996,Basal
105,-0.6518,-0.5312,1.6742,1.7829,-2.1642,0.4226,-1.1166,-0.5779,0.2374,-1.753,-0.5422,-1.7661,-0.8676,0.1861,-0.6997,-0.2635,-1.6402,-0.163,-0.4873,-1.5793,1.4581,-0.8909,1.4879,-2.1812,-0.7701,-0.4142,-1.2257,0.625,0.8933,1.7887,-0.2582,0.4537,0.2127,-0.0469,-0.4588,3.3025,-1.4528,-1.421,6.3919,1.5407,7.9033,1.2957,-1.8794,0.526,-0.0045,3.7744,0.7138,-0.1368,-1.641,-1.1697,LumA
106,2.7717,-0.2775,-2.7808,0.6859999999999999,0.3718,2.6447,-1.0147,-0.0341,0.57,0.4299,-0.4846,-1.1202,-1.0588,-1.0198,1.4477,1.8439,0.5882,1.2409,-0.3039,0.4638,-0.4301,-0.077,0.5929,3.6015,-0.0797,-1.1608,7.8784,2.1494,1.0856,2.0442,-0.0121,-0.9683,-0.1863,0.2967,0.3011,0.8928,1.4687,-0.6035,0.7865,-1.2814,2.507,2.8038,-0.6605,1.3733,-0.4716,1.0453,-0.4906,-1.6434,0.2217,-0.8484,LumA
107,0.6613,-3.1487,-2.1182,0.4276,-2.5724,-0.4894,-2.3082,-1.6834,-2.3603,-0.3648,-1.5677,1.1838,-1.6956,-0.5839,0.0299,1.198,1.5975,-0.9047,-2.1869,1.5342,-1.3288,0.4743,2.0768,0.9725,-1.5708,-2.7893,10.3443,10.8491,1.9543,-0.286,-0.0627,-2.6756,-0.3934,-1.1755,-1.9105,2.889,-1.7635,-0.8735,-2.6794,-1.2016,0.4066,0.7687,-1.951,-3.4368,1.8873,-3.1505,0.0274,-2.2789,-1.84,-1.8914,LumA
108,-1.4394,0.3759,2.5634,-1.4057,1.1095,0.6959,0.212,-1.5856,1.1844,-0.8891,0.2729,0.2677,0.6263,0.1231,-0.5198,-1.1477,0.1336,-0.2226,-0.3889,0.1038,-0.6484,0.3079,0.1559,-1.0154,0.4891,0.0363,2.4415,9.592,2.2836,1.2716,0.7954,0.8395,0.6527,0.8673,-1.2725,0.7422,0.4364,-0.0683,4.6276,-1.2277,1.3078,-1.5152,0.5508,0.1792,0.6629999999999999,-0.8256,-0.7614,-1.0824,1.248,1.1646,LumA
109,0.7142,2.8901,-0.4697,-3.0853,2.1435,0.5393,2.1188,3.8356,1.6908,1.967,3.6791,2.5631,2.1194,3.3354,-1.0726,2.5155,-1.1292,-2.8764,2.6337,0.2784,-11.5315,4.0878,-3.2385,-1.3756,1.6255,3.1008,5.9099,3.8287,4.0929,-4.2994,-0.5593,2.147,0.6768,1.8448,-5.7999,-0.7693,2.5821,1.8412,-1.981,1.3765,-4.0826,2.4008,2.2506,0.923,4.5976,-1.6424,-4.1841,1.7449,2.7871,2.5759,Basal
110,0.1459,1.1619,4.1683,1.807,0.5347,0.5973,2.0088,-1.6322,0.8897,0.3118,1.6767,-1.9682,2.1414,0.4942,1.779,-1.6222,0.1495,2.316,1.7058,0.009,0.6189,-0.5686,1.8616,0.5915,1.3554,0.3089,-3.2863,-3.5911,-4.8129,0.5246,0.9046,0.653,0.2771,1.4865,1.3464,-1.6324,0.35,2.3138,3.7543,-0.2594,-2.134,-5.1455,0.0483,-0.8361,-0.7327,7.2605,0.0579,2.1583,1.1033,1.351,LumB
111,1.4219,3.1548,-1.197,-1.2794,0.8889,-0.2689,1.8373,2.3939,2.0922,2.229,2.7718,1.0149,2.245,3.1023,-2.5380000000000003,1.0389,1.0959,-3.2945,3.0191,0.2304,-5.4666,2.8595,-2.5284,-0.1805,2.6435,1.8009,-6.7289,-1.0306,2.2226,-5.0757,0.4661,2.4129,3.5721,1.6915,-6.5585,-2.2864,1.0896,1.8734,-3.2483,1.1656,-4.7477,0.0242,1.7389,1.9296,3.4022,0.1289,-4.68415,1.1974,1.4062,3.2308,Basal
112,3.2071,1.2313,1.0114,-2.7507,0.8054,-1.7707,0.857,1.4661,2.1507,0.5427,0.6221,3.1143,0.7784,1.0239,-2.0604,1.4629,-0.988,-8.8324,0.9071,0.6907,-10.6576,5.0674,-3.3193,-0.7639,2.1324,2.3264,6.1441,6.5025,7.6206,-5.8605,0.0671,2.4098,1.9658,2.0374,-3.5297,0.1568,1.4774,1.2102,-2.2869,0.9771,-4.1871,2.8573,1.0285,0.1905,5.561,-2.2058,-6.2327,1.6329,0.4726,0.7208,Basal
113,0.6599,-3.5138,0.2944,0.7111,-5.6848,-0.6513,-3.6704,-3.1597,-6.0416,-5.0105,-3.6328,0.2658,-2.6167,-4.2369,-1.9442,3.6456,0.0641,0.9587,-3.9428,-1.6853,-2.039,3.0828,0.079,3.5721,-4.4626,-2.3149,3.7653,2.641,5.1779,0.6175,0.1224,-4.8858,-0.5789,-2.891,0.1373,-4.4307,-5.8352,0.8524,5.0086,-5.6805,1.5452,-1.5393,-5.4252,-4.5941,6.1585,0.9913,2.0394,-2.75075,-4.9425,-2.7816,LumA
114,-1.7878,-0.325,-1.7188,0.8916,0.3778,0.696,0.5306,0.5381,-0.1107,0.2179,1.9529,-1.1954,0.921,0.1841,0.8316,-2.9081,0.0377,3.7056,-0.0493,-2.4886,1.3113,-1.08,0.9326,-0.2938,0.4292,0.1901,-11.9746,-10.1137,-7.8583,0.6644,-0.5174,0.0338,-0.085,0.5243,0.4055,4.065,1.163,1.0428,3.6694,1.9183,4.3155,-1.6357,0.3594,-0.1301,-7.1723,2.8939,-0.8243,-0.008,0.4968,1.6253,LumB
115,1.1594,1.8437,-1.1435,-2.4411,1.3091,-0.6389,0.9276,1.5031,-0.4716,0.5012,2.1976,1.198,2.1052,2.2482,-2.6054,2.8549,-2.3918,-5.4575,2.0724,-3.6282,-8.7456,5.763999999999999,-1.7754,-3.5479,0.813,1.4067,1.5754,0.9814,4.4375,-5.0739,0.2183,3.062,-2.4956,1.9974,-5.9883,-4.4567,-0.4146,0.1695,-1.6682,0.7449,-4.3013,0.3291,1.5058,2.1196,4.1878,-1.5073,-4.2797,0.4397,1.8333,1.8435,Basal
116,0.8972,0.3492,-0.8944,2.0152,0.6152,0.1253,0.7211,-1.0174,0.7585,1.569,0.7494,-1.955,1.0696,0.6554,0.5434,-3.2710000000000004,0.4313,2.124,0.023,1.3524,1.4873,-0.2909,1.8436,0.22110000000000002,0.939,1.0784,-2.5682,-2.3257,-1.7223,1.3166,0.1415,-0.0501,0.0191,1.3122,0.9603,-1.3923,-1.5605,0.9204,-0.5897,-1.2837,-3.5401,-4.4392,1.5696,-0.9754,-2.2038,1.2934,-4.4099,0.6684,0.7983,0.9928,LumB
